Event,Radiant Azimuth,Radiant Zenith Angle,RA_App,Dec_app,x,y,z,dot,Radiant Diff,,,Delta_Rad,,a,e,inc,W,w,q,Q,Tj,En,Mass,D,Speed,DV,Height ,DH,Fireball,Meteorite,Date,Length (km),Begin Height (km),End Height (km),Notes,,Ref
Motopi Pan ,95.19,64.86,,,-0.0818898236384104,0.901560996628406,0.424831526776045,0.999439025970807,1.9,,,,,,,,,,,,,,,,17,,27.8,,,How,,,,,,,Jenniskens P. et al. 2021. The impact and recovery of asteroid 2018 LA. Meteoritics & Planetary Science 56:844–893. https://onlinelibrary.wiley.com/doi/10.1111/maps.13653.
,95.89,66.67,,,-0.0942287141725315,0.913391527195805,0.396026346942102,,,0.700000000000003,1.81,1.8326354396105,,,,,,,,,,,,,16.89,-0.109999999999999,28.7,0.899999999999999,,,2018-06-02,124.8,85,21,,,
Crawford Bay,177.566,53.8,,,-0.806232275566423,0.0342704273023355,0.590605668485753,-0.0345599076659999,92.0,,,,,,,,,,,,,,,,16.5,,27,,,,,,,,,,Hildebrand et al (2018)
,280.1,76.7,,,0.170663187407053,-0.958097695539883,0.230049738676728,,,102.534,22.9,40.9019967177853,,,,,,,,,,,,,14.7,-1.8,36,9,,,2017-09-05,123,90,25,,,
Baird Bay,6.74,17.2,,,0.293664398370987,0.0347055009539018,0.955278362223779,0.999362383920505,2.0,,,,,,,,,,,,,,,,9.6,,25.7,,,,,,,,imputed total length from fragmentation height + last estimated speed until final observation,,"Devillepoix H. A. R., Bland P. A., Sansom E. K., Towner M. C., Cupák M., Howie R. M., Hartig B. A. D., Jansen-Sturgeon T., and Cox M. A. 2019. Observation of metre-scale impactors by the Desert Fireball Network. Monthly Notices of the Royal Astronomical Society 483:5166–5178. http://arxiv.org/abs/1808.09195."
,11.6,18.6,,,0.312444644688139,0.064135674700834,0.947768410127902,,,4.86,1.4,4.83173797153227,,,,,,,,,,,,,15.2,5.6,20,-5.7,,,2017-06-30,64.7185062155899,86.782,24.9578113833666,extrapolated end height from fragmentation height and total length,,
Kalabity,346.41,70,,,0.913383129058126,-0.2208019026506,0.342020144637508,0.970384844827603,14.0,,,,,,,,,,,,,,,,13.4,,40.2,,,,,,,,imputed length,,"Devillepoix H. A. R., Bland P. A., Sansom E. K., Towner M. C., Cupák M., Howie R. M., Hartig B. A. D., Jansen-Sturgeon T., and Cox M. A. 2019. Observation of metre-scale impactors by the Desert Fireball Network. Monthly Notices of the Royal Astronomical Society 483:5166–5178. http://arxiv.org/abs/1808.09195."
,331.7,71.6,,,0.83546383616837,-0.449850934281378,0.31564903830204,,,-14.71,1.59999999999999,5.08027264120153,,,,,,,,,,,,,18.1,4.7,38.1,-2.1,,,2015-01-02,145.889068154938,83.317,33.42,,,
Romania,232.2,47,,,-0.448251844721875,-0.577882790573008,0.681998360748022,0.992983618055257,6.8,,,,,,,,,,,,,,,,27.76,,42.8,,,,,,,,imputed length,,"Borovička J., Spurný P., Grigore V. I., and Svoreň J. 2017. The January 7, 2015, superbolide over Romania and structural diversity of meter-sized asteroids. Planetary and Space Science 143:147–158."
,222.9,46.4,,,-0.53048695632156,-0.492958896000701,0.689619544405796,,,-9.29999999999998,-0.600000000000001,6.40244690140572,,,,,,,,,,,,,35.7,7.94,45.5,2.7,,,2015-01-07,68.6365286797908,85.5,38.69,,,
Flensburg,188.1,65.3,,,-0.899444588921858,-0.12800991798809,0.417867074984224,0.999795424123069,1.2,,,,,,,,,,,,,,,,19.43,,40.7,,,C1-ung,,,,,,,"Borovička J., Bettonvil F., Baumgarten G., Strunk J., Hankey M., Spurný P., and Heinlein D. 2021. Trajectory and orbit of the unique carbonaceous meteorite Flensburg. Meteoritics & Planetary Science 56:425–439. https://onlinelibrary.wiley.com/doi/10.1111/maps.13628."
,188.5,66.4,,,-0.906297276115536,-0.135447031952302,0.400349033770374,,,0.400000000000006,1.10000000000001,1.11210088688526,,,,,,,,,,,,,18.5,-0.93,42,1.3,,,2019-09-12,90,71.84,35.3,,,
Novo Mesto,156.5,42.15,,,-0.615415042257293,0.267590078394512,0.741390501495853,0.999806120837506,1.1,,,,,,,,,,,,,,,,22.11,,35,,,L5,,,,,imputed length,,"Vida, D., Šegon, D., Šegon, M., Atanackov, J., Ambrožič, B., McFadden, L., Ferrière, L., Kac, J., Kladnik, G., Živčić, M., Merlak, A., Skokić, I., Pavletić, L., Vinčić, G., Ćiković, I., Perkó, Z., Ilari, M., Malarić, M., and Macuka, I.: Novo Mesto meteorite fall – trajectory, orbit, and fragmentation analysis from optical observations, European Planetary Science Congress 2021, online, 13–24 Sep 2021, EPSC2021-139, https://doi.org/10.5194/epsc2021-139, 2021."
,155,42.65,,,-0.614039908275455,0.286331513952498,0.735506121771085,,,-1.5,0.5,1.21527878538935,,,,,,,,,,,,,21.5,-0.609999999999999,34.5,-0.5,,,2020-02-28,69.5989494539676,68.7,17.1,,,
Sariçiçek,319.6,46.2,,,0.549648059086085,-0.467787170716479,0.692143174535422,0.335953984057174,70.4,,,,,,,,,,,,,,,,17.1,,36.5,,,How,,,,,,,Unsalan O. et al. 2019. The Sariçiçek howardite fall in Turkey: Source crater of <scp>HED</scp> meteorites on Vesta and impact risk of Vestoids. Meteoritics & Planetary Science 54:953–1008. https://onlinelibrary.wiley.com/doi/abs/10.1111/maps.13258.
,48.8,61.8,,,0.580505295303144,0.663105855591783,0.472550765955257,,,-270.8,15.6,50.159215012249,,,,,,,,,,,,,24.1,7,39.8,3.3,,,2015-09-02,31.6,58.4,21.3,"changed from original value of 48.8 assuming sign error typo in CNEOS data (vx = 10.3 -> -10.3, vy = -12.2 -> 12.2)",,
Vinales,171.8,39.5,,,-0.629575102516578,0.0907231603819058,0.771624583888797,0.963094340821787,15.6,,,,,,,,,,,,,,,,16.6,,36.5,,,L6,,,,,imputed length,,"Ceballos Izquierdo Y., Orihuela J., Silva G. G., Zurita M., Mourão D. C., and Delgado Manzor H. 2021. Meteorite and bright fireball records from Cuba. Mineralia Slovaca 53:131–145. https://meteorites.asu.edu/collection/specimen-cata-."
,176.1,54.8,,,-0.815252617775965,0.055578350596219,0.576432317062845,,,4.29999999999998,15.3,15.5695399917012,,,,,,,,,,,,,16.3,-0.300000000000001,39.8,3.3,,,2019-02-01,63.4077776335121,72.24,23.313,,,
Froslunda,243.6,17.9,,,-0.136661566015519,-0.275302936182493,0.95159440398916,0.999789193717477,1.2,,,,,,,,,,,,,,,,17.4,,,,,,,,,,imputed length,,http://norskmeteornettverk.no/meteor/20201107/212700/
,242.2,16.8,,,-0.134800569813705,-0.255672027874459,0.957319497628907,,,-1.40000000000001,-1.1,1.73078662682484,,,,,,,,,,,,,16.7,-0.699999999999999,,,,,2020-11-07,73.4556652656145,81.3,11.4,,,
2022 EB5,129.3,33.4,,,-0.348663970069001,0.425984131826533,0.834847863630085,0.999769514058364,1.2,,,,,,,,,,,,,,,,18.6,,,,,,,,,,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54254967
,129.8,32.2,,,-0.34109927153067,0.409400063484511,0.846193166469763,,,0.5,-1.2,1.27146499074466,,,,,,,,,,,,,17.2,-1.4,33.3,,,,2022-03-11,,,,nothing,,
2019MO,109.7,62.1,,,-0.297913201444514,0.832039309351922,0.467929815355098,0.964792453455501,15.2,,,,,,,,,,,,,,,,16.45,,,,,,,,,,"length, begin and end heights all imputed from GLM LC",,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3842925&view=OPC
,117.9,48.4,,,-0.34991701973758,0.660878250884953,0.663926213374058,,,,,,,,,,,,,,,,,,14.9,-1.55,25,,,,2019-06-22,37.835,37.62,19.92,"use speed and GLM LC duration to determine length, use peak brightness height, zenith angle and length to determine begin/end heights; all parameters from ground-based",,
Ozerski,238,12.4,,,-0.113792387313623,-0.182105884636612,0.976672278387271,0.999121410272922,2.4,,,,,,,,,,,,,,,,14.9,,27.2,,,L6,,,,,"length, begin and end heights all imputed",,"Kartashova A., Golubaev A., Mozgova A., Chuvashov I., Bolgova G., Glazachev D., and Efremov V. 2020. Investigation of the Ozerki meteoroid parameters. Planetary and Space Science 193:105034. https://doi.org/10.1016/j.pss.2020.105034."
,237.5,10,,,-0.0933010984387353,-0.146453387017717,0.984807753046839,,,,,,,,,,,,,,,,,,14.4,-0.5,27.2,0,,,2018-06-21,65.56,78.133,14.103,"use speed and LC duration to determine length, use peak brightness height, zenith angle and length to determine begin/end heights; all parameters from paper",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,USG values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ground-based values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
